Iter=1, currentCost=1251318, Hard Conflicts: 124, Soft Conflicts: 11442, Best Cost: 1251318, Time: 0.05s
Iter=2, currentCost=1191600, Hard Conflicts: 118, Soft Conflicts: 11718, Best Cost: 1191600, Time: 0.09s
Iter=3, currentCost=1071636, Hard Conflicts: 106, Soft Conflicts: 11742, Best Cost: 1071636, Time: 0.12s
Iter=4, currentCost=1011558, Hard Conflicts: 100, Soft Conflicts: 11658, Best Cost: 1011558, Time: 0.14s
Iter=5, currentCost=901415, Hard Conflicts: 89, Soft Conflicts: 11504, Best Cost: 901415, Time: 0.17s
Iter=6, currentCost=841331, Hard Conflicts: 83, Soft Conflicts: 11414, Best Cost: 841331, Time: 0.20s
Iter=7, currentCost=841034, Hard Conflicts: 83, Soft Conflicts: 11117, Best Cost: 841034, Time: 0.24s
Iter=9, currentCost=840770, Hard Conflicts: 83, Soft Conflicts: 10853, Best Cost: 840770, Time: 0.28s
Iter=10, currentCost=560528, Hard Conflicts: 55, Soft Conflicts: 10583, Best Cost: 560528, Time: 0.31s
Iter=11, currentCost=560498, Hard Conflicts: 55, Soft Conflicts: 10553, Best Cost: 560498, Time: 0.34s
Iter=12, currentCost=560355, Hard Conflicts: 55, Soft Conflicts: 10410, Best Cost: 560355, Time: 0.36s
Iter=14, currentCost=560073, Hard Conflicts: 55, Soft Conflicts: 10128, Best Cost: 560073, Time: 0.43s
Iter=15, currentCost=339189, Hard Conflicts: 33, Soft Conflicts: 9222, Best Cost: 339189, Time: 0.46s
Iter=17, currentCost=289179, Hard Conflicts: 28, Soft Conflicts: 9207, Best Cost: 289179, Time: 0.51s
Iter=18, currentCost=288970, Hard Conflicts: 28, Soft Conflicts: 8998, Best Cost: 288970, Time: 0.53s
Iter=19, currentCost=128700, Hard Conflicts: 12, Soft Conflicts: 8712, Best Cost: 128700, Time: 0.56s
Iter=20, currentCost=128620, Hard Conflicts: 12, Soft Conflicts: 8632, Best Cost: 128620, Time: 0.60s
Iter=21, currentCost=128425, Hard Conflicts: 12, Soft Conflicts: 8437, Best Cost: 128425, Time: 0.63s
Iter=22, currentCost=128323, Hard Conflicts: 12, Soft Conflicts: 8335, Best Cost: 128323, Time: 0.65s
Iter=23, currentCost=68449, Hard Conflicts: 6, Soft Conflicts: 8455, Best Cost: 68449, Time: 0.68s
Iter=24, currentCost=68365, Hard Conflicts: 6, Soft Conflicts: 8371, Best Cost: 68365, Time: 0.70s
Iter=25, currentCost=8406, Hard Conflicts: 0, Soft Conflicts: 8406, Best Cost: 8406, Time: 0.73s
Iter=26, currentCost=8311, Hard Conflicts: 0, Soft Conflicts: 8311, Best Cost: 8311, Time: 0.76s
Iter=27, currentCost=8306, Hard Conflicts: 0, Soft Conflicts: 8306, Best Cost: 8306, Time: 0.79s
Iter=29, currentCost=8276, Hard Conflicts: 0, Soft Conflicts: 8276, Best Cost: 8276, Time: 0.83s
Iter=30, currentCost=8100, Hard Conflicts: 0, Soft Conflicts: 8100, Best Cost: 8100, Time: 0.87s
Iter=31, currentCost=8050, Hard Conflicts: 0, Soft Conflicts: 8050, Best Cost: 8050, Time: 0.91s
Iter=32, currentCost=7027, Hard Conflicts: 0, Soft Conflicts: 7027, Best Cost: 7027, Time: 0.94s
Iter=33, currentCost=6950, Hard Conflicts: 0, Soft Conflicts: 6950, Best Cost: 6950, Time: 0.97s
Iter=36, currentCost=6614, Hard Conflicts: 0, Soft Conflicts: 6614, Best Cost: 6614, Time: 1.06s
Iter=38, currentCost=6559, Hard Conflicts: 0, Soft Conflicts: 6559, Best Cost: 6559, Time: 1.11s
Iter=39, currentCost=6537, Hard Conflicts: 0, Soft Conflicts: 6537, Best Cost: 6537, Time: 1.13s
Iter=40, currentCost=6522, Hard Conflicts: 0, Soft Conflicts: 6522, Best Cost: 6522, Time: 1.16s
Iter=41, currentCost=6276, Hard Conflicts: 0, Soft Conflicts: 6276, Best Cost: 6276, Time: 1.19s
Iter=42, currentCost=6270, Hard Conflicts: 0, Soft Conflicts: 6270, Best Cost: 6270, Time: 1.23s
Iter=46, currentCost=6156, Hard Conflicts: 0, Soft Conflicts: 6156, Best Cost: 6156, Time: 1.33s
Iter=48, currentCost=5714, Hard Conflicts: 0, Soft Conflicts: 5714, Best Cost: 5714, Time: 1.39s
Iter=49, currentCost=5664, Hard Conflicts: 0, Soft Conflicts: 5664, Best Cost: 5664, Time: 1.42s
Iter=51, currentCost=5604, Hard Conflicts: 0, Soft Conflicts: 5604, Best Cost: 5604, Time: 1.47s
Iter=52, currentCost=5428, Hard Conflicts: 0, Soft Conflicts: 5428, Best Cost: 5428, Time: 1.49s
Iter=54, currentCost=5374, Hard Conflicts: 0, Soft Conflicts: 5374, Best Cost: 5374, Time: 1.56s
